objectid,name_std,acreage,year,raw_excerpt
157,Charles Lewis,2000.0,1739.0,2000a Goochland Co. on both sides Green Cr. of Rock fish River in the Rich Cove and on the East side of Rock fish River
158,Thomas Hackett,1200.0,1739.0,1200a Hanover Co. both sides the South Branch of the North (fork) of James Riv.
159,Charles Lynch,380.0,1739.0,380a Goochland County on both sides of Hardwar River
160,John Chiswell Gent.,16400.0,1739.0,16400a GOCO on both sides of Rockfish Riv. North Br.
161,William Robertson Of The City Of Williamsburg,6196.0,1739.0,"6196a Hanover County on both sides Henry's Creek, Naked Creek and Buck Mountain Creek"
162,John Hackett,400.0,1739.0,400a Hanover County on both Sides of Buck Mountain Creek
163,John Henry,1750.0,1739.0,1750a Hanover County
164,Charles Lynch,400.0,1739.0,"400 ac br Ivy Crk, br of Rivanna on so. side"
165,Jasper Haynes,250.0,1739.0,250a HNCO on the branches of Pritties Creek
166,William Carr,4024.0,1739.0,4024a HNCO on both sides the N branch
167,Jasper Haynes,250.0,1739.0,250a HNCO on the branches of Pritties Creek
168,John Major,320.0,1739.0,320a Hanover County on branches of Pritties Creek
169,,250.0,1739.0,250a Goochland Co. on both Sides of Moore's Creek
170,John Carter Of Corotoman In Lancaster Co. Esqr.,400.0,1739.0,400a Goochland Co. N Side the Fluvanna River
171,John Dowell,400.0,1739.0,400a Hanover County beyond the Little Mountains
172,Robert Adams,1740.0,1739.0,1740a Goochland Co. both sides of Rivanna Riv. & Machunk Cr.
173,Henry Wood,2450.0,1739.0,2450a Goochland Co. on both sides of Buck Island Cr. of the S side of the Rivanna River
174,,400.0,1740.0,400a Hanover Co. on both Sides of the N fork of Moremans River
175,William Stith,1650.0,1740.0,1650a Goochland County on both sides of Bellingers Creek
176,Hugh Frazer,200.0,1740.0,200a Goochland County on both sides of Meadow Cr. a branch of the River Rivanna
177,David Mills,800.0,1740.0,800a Hanover Co. on brs. of Buck Mountain Cr.
178,David Mills,1050.0,1740.0,1050a Hanover County on both sides of Beaverdam Swamp
179,William Carr,400.0,1740.0,400a Hanover County on both sides of Buck Mountain Creek
180,Benjamin Wheeler,200.0,1740.0,200a Goochland County on both sides of Moor's Creek
181,Andrew Mackwilliams,400.0,1740.0,400a Goochland Co. on both sides of MackWilliams's Cr.
182,Michael Holland,400.0,1740.0,400a Hanover County on W side Little Mountains
183,Michael Holland,400.0,1740.0,400a Hanover County on the W side of the Little Mountains
