grant_id,component_id,shift_km
6116,6115,0.7011483147412766
6117,6116,0.7660137790768897
6118,6117,0.8630770021669794
6119,6118,0.8675658567409371
6120,6119,0.8433254624434112
6122,6121,0.7238230669245996
6123,6122,0.7236176611233898
6125,6124,0.8334471255304402
6126,6125,0.8462599163228711
6127,6126,0.7485261404772983
6128,6127,0.7204007037127428
6129,6128,0.8548299737363467
6130,6129,0.8358694923552165
6132,6131,0.7227220077604626
6133,6132,0.721776501290845
6134,6133,0.8453520562675424
6135,6134,0.8352492558683428
6136,6135,0.7492381466378893
6137,6136,0.7874505924236258
6139,6138,0.747470953999788
6140,6139,0.7393771112040336
6143,6142,0.8543350609907527
6144,6143,0.8508711217174777
6147,6146,0.8598480259867637
6148,6147,0.8616105160770935
6149,6148,0.8678030906455676
6151,6150,0.8305251132186547
6152,6151,0.8400221825303731
6158,6157,0.8382527661944025
6159,6158,0.8440874576819594
6161,6160,0.8511827171964333
6162,6161,0.84827237048328
6164,6163,0.8255159693176196
6165,6164,0.8587029131795972
6166,6165,0.8282331046908046
6168,6167,0.7517179142263448
6169,6168,0.8345400504985825
6170,6169,0.7912321124690126
6172,6171,0.8694973642115885
6173,6172,0.8489948411908916
6174,6173,0.8531241435979294
6175,6174,0.7029189301925597
6176,6175,0.7011145306571374
6178,6177,0.7038885336905903
6179,6178,0.8694928109903935
6180,6179,0.83650067206049
6182,6181,0.8512994831471291
6184,6183,0.8509626720518643
6185,6184,0.8556635708287662
6186,6185,0.8556635708287664
6187,6186,0.8556635708287659
6188,6187,0.84813477337685
6189,6188,0.8345682742964705
6190,6189,0.853352846964425
6191,6190,0.8610885472657331
6192,6191,0.704404076612413
6193,6192,0.8421719675522398
6194,6193,0.8387490472342375
6195,6194,0.8489893104537248
6196,6195,0.8489400553277351
